"Tamil Nadu Local Authorities Entertainments Tax Act, 2017",Municipal Commissioner; Tax Department,Tax disputes; Compliance issues; Entertainment licensing complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Erode City Municipal Corporation Act, 2008",Municipal Commissioner; TN Urban Development Department,Civic complaints; Governance issues; Administrative disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Protection of Tanks and Eviction of Encroachment Act, 2007",Public Works Department; District Collector; Irrigation Department,Encroachment complaints; Tank protection issues; Water resource management; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Public Works Engineering Corporation Ltd. Act, 1980",Public Works Department; TN PWD Corporation,Project disputes; Contractual issues; Infrastructure complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Parambikulam-Aliyar Project (Regulation of Water Supply) Act, 1993",Public Works Department; Irrigation Engineer; District Collector,Water allocation disputes; Supply issues; Irrigation complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu State Minorities Commission Act, 2010",State Minorities Commission,Minority rights complaints; Discrimination issues; Welfare grievances; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Vanniyakula Kshatriya Public Charitable Trusts and Endowments (Protection and Maintenance) Act, 2018",Charitable Trusts Department; District Collector,Trust mismanagement; Endowment disputes; Protection of assets; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Highways Act, 2001",Highways Department; TN PWD; District Collector,Highway maintenance complaints; Construction disputes; Safety violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Maritime Board Act, 1995",Maritime Board; Port Authority,Port development disputes; Licensing issues; Maritime safety complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Indian Telegraph Act, 1885 (Central Act)",Department of Telecommunications; TN Telecom Circle,Licensing disputes; Unauthorized installations; Telecom service complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Information Technology Act, 2000 (Central Act)",Cyber Crime Cell; TN IT Department,Cybercrime complaints; IT service violations; Online fraud; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Non-Resident Tamils' Welfare Act, 2011",TN NRT Welfare Board; Welfare Department,Benefits and welfare disputes; Registration complaints; Implementation issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Protection of Human Rights Act, 1993",TN Human Rights Commission,Human rights violations; Complaints against authorities; Legal remedies; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Hindu Religious and Charitable Endowments Act, 1959",HR & CE Department; Commissioner of Religious Endowments,Temple administration complaints; Mismanagement of funds; Endowment disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Ancient and Historical Monuments and Archaeological Sites and Remains Act, 1966",Archaeology Department; TN Heritage Commissioner,Heritage conservation complaints; Unauthorized construction; Protection of monuments; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Rights of Persons With Disabilities Act, 2016",Welfare Department; TN Commissioner for Differently Abled,Disability rights violations; Accessibility issues; Welfare benefit complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Payment of Salaries Act, 2023",Legislative Assembly; TN Finance Department,Delay/non-payment of salaries to government employees; Salary dispute complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Business Facilitation Act, 2018",MSME Department; TN Industries Department,Business registration issues; Compliance disputes; Facilitation of MSMEs; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Information Technology Act, 2000",Cyber Crime Police; Adjudicating Officer; CERT-In,Identity theft; Fake profiles; Unauthorized data usage; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022",Cyber Crime Police; State Gaming Authority,Online betting fraud; Illegal gaming platforms; Financial scams; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Agricultural Produce Marketing Regulation Act, 1987",Market Committee; Department of Agriculture Marketing,Illegal trading practices; Price manipulation; Market fee disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Local Fund Audit Act, 2014",Local Fund Audit Department; District Collector,Misuse of public funds; Financial irregularities; Audit objections; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Local Bodies Ombudsman Act, 2014",Local Bodies Ombudsman,Corruption in local bodies; Administrative negligence; Abuse of authority; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Information Technology Act, 2000",Cyber Crime Police; CERT-In; Adjudicating Officer,Cyber theft; Data theft; Online fraud; Hacking; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Maritime Board Act, 1995",Tamil Nadu Maritime Board; Port Authorities,Illegal port activities; Misuse of maritime resources; Regulatory violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Wild Life (Protection) Amendment Act, 2006",Forest Department; Wildlife Warden; Police,Illegal hunting; Poaching; Wildlife trade; Destruction of protected habitats; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Lokayukta Act, 2018",Lokayukta of Tamil Nadu,Corruption by public servants; Abuse of power; Maladministration; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Government Servants (Conditions of Service) Act, 2016",Departmental Authority; Administrative Tribunal; State Government,Service condition disputes; Promotion issues; Disciplinary action challenges; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Slum Areas (Improvement and Clearance) Act, 1971",Tamil Nadu Slum Clearance Board; Local Municipal Authority,Unsafe living conditions; Eviction issues; Lack of basic amenities; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Bharatiya Nyaya Sanhita (Theft Provisions),Local Police Station; SHO,Theft of mobile phone; stolen wallet; lost valuables; pickpocketing in public places; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Bharatiya Nyaya Sanhita (Criminal Breach of Trust),Local Police Station; SHO,Property misused by trusted person; employer misusing employee assets; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Bharatiya Nyaya Sanhita (Cheating and Fraud),Local Police Station; Economic Offences Wing,Cheating; financial fraud; false promises; money taken without service; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Information Technology Act, 2000",Cyber Crime Cell; Online Cyber Crime Portal,Online fraud; hacking; phishing; OTP scam; fake websites; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Railway Act / Railway Property Act,Railway Police (RPF/GRP),Theft at railway station; lost mobile in train; stolen luggage; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Consumer Protection Act, 2019",District Consumer Disputes Redressal Commission,Defective products; service deficiency; online shopping fraud; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Motor Vehicles Act, 1988",Traffic Police; Motor Accident Claims Tribunal,Hit and run cases; road accidents; compensation claims; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Protection of Women from Domestic Violence Act, 2005",Protection Officer; Magistrate Court,Domestic abuse; harassment at home; physical or mental cruelty; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Sexual Harassment of Women at Workplace Act,Internal Complaints Committee; Labour Officer,Workplace harassment; inappropriate behavior; unsafe work environment; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Indian Contract Act, 1872",Civil Court; Legal Services Authority,Breach of contract; non-fulfillment of agreement; contract violation; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Public Grievance Redressal Rules,Concerned Government Department; CPGRAMS,Delay in government services; harassment by officials; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Information Technology Act,Cyber Crime Cell; Police,data breach privacy leak social media hacked account personal information leaked online; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Wild Life (Protection) Amendment Act, 2006",Forest Department; Chief Wildlife Warden; Wildlife Crime Control Bureau,Poaching; Illegal hunting; Illegal trade of wildlife products; Destruction of wildlife habitat; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Lokayukta Act, 2018",Tamil Nadu Lokayukta; Upa-Lokayukta,Corruption by public servants; Abuse of power; Maladministration; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Government Servants (Conditions of Service) Act, 2016",Administrative Department; Departmental Authority; Tamil Nadu Administrative Tribunal,Misconduct by government servants; Service rule violations; Disciplinary disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Slum Areas (Improvement and Clearance) Act, 1971",Tamil Nadu Slum Clearance Board; Local Municipal Authority,Illegal eviction; Poor living conditions; Delay in rehabilitation; Lack of basic amenities; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Local Fund Audit Act, 2014",Local Fund Audit Department; Director of Local Fund Audit,Misappropriation of public funds; Financial irregularities; Audit objections; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Local Bodies Ombudsman Act, 2014",Ombudsman for Local Bodies,Corruption in Panchayats/Municipalities; Fund misuse; Administrative negligence; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Information Technology Act, 2000 (Central Act 21 of 2000)",Cyber Crime Police Station; CERT-In,Online theft; Data theft; Hacking; Unauthorized access; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Maritime Board Act, 1995",Tamil Nadu Maritime Board; Port Authorities,Theft of port property; Illegal use of maritime resources; Port management violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Industrial Disputes Act, 1947 (Central Act)",Labour Department; Conciliation Officer; Labour Court,Workplace harassment; Unfair termination; Victimization; Discriminatory practices; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Information Technology Act, 2000 (Central Act 21 of 2000)",Cyber Crime Police; CERT-In; Adjudicating Officer,Identity theft; Fake social media accounts; Impersonation; Data misuse; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022",State Police; Cyber Crime Wing; District Collector,Online betting fraud; Illegal gambling apps; Financial loss through gaming platforms; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Agricultural Produce Marketing Regulation Act, 1987",Market Committee; Agricultural Marketing Department,Online trading fraud; Price manipulation; Illegal commission charges; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
